City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
152,la'ie,21.6477,-157.9253,28.98,75,21,2.68,US,1717963538
153,ivdel',60.6911,60.4206,13.99,84,17,2.24,RU,1717963538
154,yellowknife,62.456,-114.3525,15.29,64,40,5.14,CA,1717963288
155,katsuura,35.1333,140.3,18.81,92,100,5.22,JP,1717963539
156,bayanhongor,46.7167,100.1167,8.33,62,17,0.99,MN,1717963539
157,vidyayevo,69.3191,32.8049,3.69,91,67,5.98,RU,1717963539
158,isangel,-19.55,169.2667,23.12,86,57,2.32,VU,1717963540
159,fauske,67.2588,15.3918,15.25,51,46,0.11,NO,1717963540
160,lionel town,17.8101,-77.2406,31.94,81,97,5.67,JM,1717963540
161,heyuan,23.7333,114.6833,24.85,95,99,0.9,CN,1717963541
162,adre,13.4667,22.2,24.58,59,100,5.1,TD,1717963541
163,duekoue,6.7472,-7.3496,23.93,90,50,1.15,CI,1717963541
164,correntina,-13.3433,-44.6367,28.94,30,5,2.24,BR,1717963353
165,petropavlovsk-kamchatsky,53.0452,158.6483,12.33,63,75,6.26,RU,1717963542
166,palora,-1.7,-77.9333,25.06,86,41,0.82,EC,1717963542
167,khandyga,62.6667,135.6,11.84,61,99,2.06,RU,1717963543
168,el calafate,-50.3408,-72.2768,1.81,99,100,2.08,AR,1717963543
169,quang ngai,15.1167,108.8,24.87,89,100,2.03,VN,1717963543
170,usogorsk,63.4106,48.6872,11.48,84,100,2.28,RU,1717963544
171,olonkinbyen,70.9221,-8.7187,-0.92,82,43,8.01,SJ,1717963544
172,nova sintra,14.8667,-24.7167,23.89,79,1,8.93,CV,1717963544
173,thunder bay,48.4001,-89.3168,14.99,55,40,1.54,CA,1717963544
174,strelka,58.0728,93.0344,10.85,93,98,2.14,RU,1717963545
175,boulder,40.0833,-105.3505,25.22,61,75,4.12,US,1717963545
176,kapa'a,22.0752,-159.319,28.99,76,75,6.17,US,1717963545
177,colonia menno,-22.3667,-59.8167,35.9,19,9,9.96,PY,1717963546
178,pisco,-13.7,-76.2167,18.03,88,100,2.57,PE,1717963448
179,queenstown,-31.8976,26.8753,9.26,52,0,2.6,ZA,1717963252
180,nuuk,64.1835,-51.7216,5.34,100,100,18.01,GL,1717963547
181,limulunga,-15.0969,23.1376,16.93,39,9,3.48,ZM,1717963547
182,russkaya polyana,49.417,31.9201,18.93,70,99,2.9,UA,1717963547
183,udachny,66.4167,112.4,16.92,34,100,2.04,RU,1717963548
184,mizhou,35.9947,119.3975,23.93,55,100,2.94,CN,1717963548
185,praia da vitoria,38.7333,-27.0667,21.53,73,20,3.85,PT,1717963548
186,new norfolk,-42.7826,147.0587,5.95,91,48,1.07,AU,1717963549
187,cabo san lucas,22.8909,-109.9124,26.45,74,0,2.68,MX,1717963345
188,olyokminsk,60.3736,120.4264,11.24,87,95,0.23,RU,1717963549
189,clyde north,-38.1167,145.3333,9.75,91,6,0.45,AU,1717963536
190,hays,30.0502,-98.0336,35.91,54,1,2.24,US,1717963550
191,nagqu,31.5,92.0,6.8,67,90,2.53,CN,1717963550
192,chrudim,49.9511,15.7956,20.79,77,0,2.06,CZ,1717963551
193,twon-brass,4.3151,6.2418,26.75,82,86,6.32,NG,1717963551
194,badger,64.8,-147.5333,24.14,37,75,2.57,US,1717963551
195,alofi,-19.0595,-169.9187,22.94,73,75,6.69,NU,1717963552
196,bulungu,-4.55,18.6,24.45,36,71,0.22,CD,1717963552
197,port lincoln,-34.7333,135.8667,14.82,58,100,4.4,AU,1717963552
198,vilyuchinsk,52.9306,158.4028,13.15,84,94,3.1,RU,1717963553
199,tarakan,3.3,117.6333,27.28,80,79,1.97,ID,1717963553
200,galesong,-5.3166,119.3661,24.01,84,18,2.0,ID,1717963553
201,eyl,7.9803,49.8164,28.17,69,93,11.27,SO,1717963554
202,bereznik,62.8551,42.7072,9.81,94,3,0.51,RU,1717963554
203,karratha,-20.7377,116.8463,19.03,71,0,2.76,AU,1717963554
204,keren,15.7778,38.4581,22.35,65,100,1.88,ER,1717963555
205,ancud,-41.8697,-73.8203,10.88,81,56,6.18,CL,1717963555
206,kailua-kona,19.6406,-155.9956,27.98,80,40,2.57,US,1717963555
207,tazacorte,28.629,-17.9293,21.54,89,40,3.6,ES,1717963556
208,i-n-salah,27.1935,2.4607,40.47,10,91,4.07,DZ,1717963556
209,porto murtinho,-21.6989,-57.8825,35.48,22,97,5.14,BR,1717963556
210,aktobe,50.2797,57.2072,17.05,82,0,3.0,KZ,1717963557
211,belmonte,-15.8631,-38.8828,23.95,83,79,4.85,BR,1717963307
212,cooper's town,26.8667,-77.5167,28.73,73,2,4.66,BS,1717963557
213,nemuro,43.3236,145.575,10.07,94,100,6.34,JP,1717963558
214,kingston,17.997,-76.7936,31.53,70,40,11.83,JM,1717963531
215,anna regina,7.2644,-58.5077,28.54,67,80,2.97,GY,1717963559
216,sam roi yot,12.2708,99.872,26.04,79,100,6.16,TH,1717963559
217,farafangana,-22.8167,47.8333,18.56,84,100,4.7,MG,1717963559
218,acarau,-2.8856,-40.12,26.39,86,79,5.36,BR,1717963266
219,chonchi,-42.6128,-73.8092,10.67,81,22,2.37,CL,1717963399
220,arvayheer,46.2639,102.775,12.6,54,66,2.12,MN,1717963561
221,villa gesell,-37.2639,-56.973,20.59,80,17,8.61,AR,1717963497
222,port antonio,18.18,-76.4612,31.95,76,100,6.12,JM,1717963561
223,kirensk,57.7853,108.1119,10.54,66,89,1.79,RU,1717963562
224,lesnoy,57.6198,63.0784,12.56,95,100,2.53,RU,1717963562
225,galle,6.0367,80.217,27.0,84,82,4.83,LK,1717963562
226,ilulissat,69.2167,-51.1,4.01,81,75,2.57,GL,1717963563
227,girua,-28.0283,-54.3497,23.65,68,0,2.69,BR,1717963563
228,ceeldheer,3.8488,47.1806,25.55,82,46,9.31,SO,1717963563
229,maryborough,-25.5333,152.7,12.28,85,3,2.02,AU,1717963564
230,lander,42.833,-108.7307,30.44,36,0,0.0,US,1717963564
231,sangin,32.0728,64.8359,27.14,9,0,0.17,AF,1717963564
232,bhamo,24.2667,97.2333,24.88,91,28,0.1,MM,1717963565
233,ar rutbah,33.0381,40.2848,31.53,16,62,5.09,IQ,1717963566
234,papao,-17.75,-149.55,26.82,84,100,8.39,PF,1717963566
235,nikolayevsk-on-amure,53.1406,140.73,10.12,97,100,1.79,RU,1717963567
236,quellon,-43.1167,-73.6167,10.93,82,90,3.68,CL,1717963360
237,margate,51.3813,1.3862,15.17,63,92,2.24,GB,1717963406
238,mazouna,36.1223,0.8987,23.92,46,8,1.36,DZ,1717963568
239,aykhal,66.0,111.5,14.8,45,100,1.91,RU,1717963568
240,crane,31.3974,-102.3501,36.89,13,100,1.1,US,1717963569
241,brisas de zicatela,15.8369,-97.0419,32.29,62,75,4.12,MX,1717963569
242,kijang,35.2442,129.2139,19.85,93,74,1.91,KR,1717963570
243,colonia,50.9333,6.95,15.53,58,0,4.12,DE,1717963526
244,north bay,46.3168,-79.4663,16.01,82,75,4.12,CA,1717963385
245,westport,41.1415,-73.3579,24.14,54,40,4.02,US,1717963532
246,gamboru,12.3707,14.2173,35.01,34,5,0.93,NG,1717963571
247,crucecita,-28.95,-58.9833,27.01,51,46,3.33,AR,1717963572
248,altus,34.6381,-99.334,33.71,41,0,6.17,US,1717963573
249,san bernardo del viento,9.3533,-75.9524,29.59,73,98,1.56,CO,1717963573
250,parauapebas,-6.0675,-49.9022,31.99,58,20,2.06,BR,1717963573
251,fale old settlement,-9.3852,-171.2468,28.59,74,66,3.53,TK,1717963574
252,fort stockton,30.894,-102.8793,39.03,12,0,9.26,US,1717963570
